distance,numwall,etage,frequence,pathloss
31.3,8,1,876.5,183.33
14.99,6,1,1815.1,170.62
13.41,1,1,2425.7,155.41
15.89,6,1,1762.6,162.61
40.09,2,1,2443.9,166.72
4.73,1,0,4898.0,141.11
44.83,6,4,2331.0,233.21
29.91,1,0,1727.9,134.72
5.05,2,0,1824.4,115.92
7.97,0,0,1760.4,124.54
3.87,0,0,4990.4,130.5
6.96,2,0,5010.7,154.42
6.76,0,0,2429.0,128.15
3.62,0,0,968.3,98.04
24.07,3,1,2350.6,176.35
6.37,1,0,1754.8,116.17
6.56,4,0,2382.5,134.24
41.2,3,2,2426.9,194.57
3.98,0,0,1828.1,108.02
8.98,1,1,879.3,130.41
1.65,1,0,5834.2,122.9
14.73,1,1,5813.7,170.74
62.47,4,2,1881.0,197.88
15.0,1,0,2354.8,136.81
7.23,1,0,5802.4,154.59
27.25,4,1,2371.2,175.63
13.95,0,0,5004.5,150.82
31.01,3,0,5012.7,168.5
15.36,4,0,2503.8,148.71
28.26,3,2,5757.8,200.24
6.0,2,0,5014.3,142.68
20.21,3,0,5113.5,160.37
12.9,3,0,4976.1,155.68
9.82,1,0,4951.1,140.34
24.43,3,0,5867.8,165.68
2.94,0,1,1874.8,120.61
14.08,1,2,5932.2,181.61
50.69,9,0,5829.5,199.18
92.85,3,0,2426.2,164.97
24.09,4,0,2284.0,157.05
10.01,1,2,2386.4,152.09
53.47,2,4,1856.3,212.45
6.43,3,0,1791.8,138.0
11.11,0,0,2407.8,139.99
6.89,2,0,2405.3,135.28
4.75,0,1,5810.2,136.46
3.95,1,0,1761.1,119.5
25.75,0,1,1863.6,150.71
13.18,0,1,1793.5,145.4
10.05,3,1,1781.3,146.22
19.58,0,0,1784.5,125.1
3.2,2,0,2488.2,119.28
3.51,1,0,2430.3,121.02
14.42,1,2,2395.2,164.19
13.35,1,0,2407.5,131.07
4.14,0,1,5837.2,143.08
4.35,0,0,5805.0,130.75
14.25,1,1,4951.1,164.07
14.95,2,2,2449.1,173.62
16.56,0,0,4881.5,132.75
14.15,1,0,2362.2,142.58
5.58,2,1,5052.7,152.79
19.81,1,1,2324.0,144.76
9.19,0,0,2412.1,126.56
7.38,1,0,5090.6,139.66
20.03,1,2,1721.5,161.19
11.48,0,1,5031.0,154.76
23.41,4,0,5830.9,177.13
17.18,3,1,2410.4,157.09
11.8,3,0,2434.1,151.95
8.61,0,0,2384.5,122.9
9.89,1,0,2406.7,132.74
24.39,2,2,914.2,165.62
13.01,4,1,2453.3,162.17
25.43,5,0,2415.7,163.15
5.45,1,0,5747.5,140.29
2.59,1,1,4939.6,152.72
10.67,4,2,1758.7,163.98
13.92,2,0,1824.6,136.69
19.0,1,2,4968.9,181.21
9.04,2,1,1741.3,138.47
14.33,2,2,2324.2,167.01
18.82,1,1,2454.2,151.26
24.71,1,0,4952.5,151.5
0.75,0,1,2356.5,111.53
21.02,8,1,2492.3,188.61
7.25,2,1,1824.0,146.52
31.98,4,1,2359.2,172.64
12.43,1,1,5004.5,168.56
15.08,5,2,4979.9,195.21
10.5,1,1,2379.8,144.9
8.3,4,0,906.4,125.11
42.62,6,2,4996.7,217.6
29.89,2,1,5865.5,179.28
53.37,6,0,4946.5,182.39
26.06,5,3,4982.9,225.76
5.72,0,1,2416.2,139.1
11.34,0,0,5072.0,147.7
4.11,0,0,2384.2,125.16
23.87,2,0,2367.4,146.31
88.04,4,1,1775.2,177.38
12.15,3,0,2342.1,139.84
10.0,0,0,2365.9,131.96
14.24,2,0,1746.9,132.85
37.32,2,2,5046.2,189.34
16.69,3,2,2434.1,174.56
10.4,3,0,1865.9,139.96
5.34,3,0,1773.5,127.53
4.94,1,0,2428.2,127.29
29.16,4,4,894.5,202.66
14.58,2,2,5852.4,184.81
3.3,0,1,1771.4,122.43
39.7,5,4,1869.0,225.93
11.94,1,1,2458.6,151.8
30.54,5,2,1713.0,190.61
11.73,1,0,2423.9,124.55
27.03,3,0,1775.3,151.59
9.42,4,0,2503.8,145.39
12.66,1,0,2365.6,126.8
10.46,1,0,5822.4,155.32
13.62,2,1,5022.6,165.05
29.56,3,2,2348.0,182.22
10.46,4,1,5010.9,175.52
8.51,3,0,2403.4,141.41
6.57,2,1,2414.8,154.32
15.75,4,1,5021.1,178.22
21.7,2,1,931.8,145.36
5.07,2,0,1728.0,119.5
4.33,0,0,4970.0,137.56
7.03,2,0,1012.6,125.76
4.83,0,0,2323.4,114.03
36.87,4,0,2428.2,161.03
9.95,1,1,2419.6,150.28
11.86,1,0,4952.5,149.44
2.64,1,0,2419.8,108.99
10.94,1,1,4992.0,162.17
13.85,2,2,2353.1,169.44
13.47,4,0,2378.5,148.83
30.56,6,2,885.0,176.35
6.24,1,0,5107.3,135.12
10.5,0,1,2393.5,148.4
3.56,0,0,2413.4,120.22
6.4,2,1,1882.0,150.29
15.52,2,0,4973.3,155.28
7.65,1,0,2349.3,127.3
14.69,3,0,4922.2,158.1
46.44,4,2,1821.0,197.66
5.86,2,0,5004.1,146.84
5.08,4,0,884.2,119.91
7.99,3,0,2418.1,145.17
6.93,2,0,2388.1,126.84
16.62,6,2,2524.6,190.35
19.2,1,1,1830.0,151.34
5.32,3,1,5865.7,157.14
87.52,4,1,885.0,171.99
12.75,2,1,2426.5,156.41
15.28,3,0,4960.3,157.14
7.02,1,0,5796.9,144.71
7.76,0,0,1779.5,119.76
8.93,4,0,2408.5,144.84
5.28,2,0,2389.6,119.44
18.79,1,1,2438.0,164.71
7.87,1,0,1819.6,125.08
12.03,0,1,2429.0,149.84
4.69,0,0,2398.0,119.94
4.07,0,0,4919.3,133.58
30.38,3,3,2344.0,195.55
37.65,5,2,2460.7,202.59
10.14,0,1,904.5,132.88
4.15,0,0,4951.4,135.14
8.49,0,0,4978.2,141.26
27.03,2,0,2362.2,152.25
20.36,1,2,5061.2,175.97
39.04,6,1,2490.0,188.66
63.12,3,3,2344.8,206.08
24.25,6,1,4970.8,191.48
5.31,3,0,1825.1,128.93
23.34,4,1,2428.9,172.04
19.15,4,1,812.0,161.93
23.64,2,2,1753.7,169.71
46.34,5,2,919.7,177.13
6.5,2,0,2432.4,133.28
6.34,3,0,4895.3,146.32
30.98,4,2,2371.4,191.84
63.38,5,0,2460.4,181.29
21.27,3,0,2447.8,143.59
11.4,5,1,4993.9,179.03
10.16,2,1,1752.0,145.92
3.94,0,0,4941.3,130.47
13.64,2,1,4911.6,171.18
9.07,2,0,920.1,112.69
11.92,3,1,1888.6,153.77
22.49,2,0,2461.3,145.15
16.18,3,1,888.9,141.27
8.0,0,1,1799.3,135.55
1.75,0,1,944.2,105.52
14.84,2,1,2404.4,141.32
23.0,4,0,1737.3,145.98
8.66,1,0,2372.9,127.33
9.62,2,0,2407.6,145.25
17.27,4,1,5045.2,183.31
7.26,1,0,1797.1,113.88
30.86,8,0,861.6,154.0
24.69,2,1,4996.1,173.08
34.73,8,3,2371.6,218.17
17.95,6,0,1757.7,163.73
15.46,2,0,5038.0,147.97
12.42,4,0,5070.6,159.65
4.71,0,0,2387.2,125.84
19.37,2,2,5016.3,189.07
51.74,7,0,5017.5,195.75
7.75,1,0,4979.5,143.36
3.62,1,1,2462.2,141.23
16.41,2,0,4960.5,164.47
19.48,4,0,876.3,136.78
27.74,8,0,2334.2,177.31
29.54,3,1,894.0,155.48
15.89,4,2,909.5,165.18
24.8,2,1,2373.7,167.25
10.19,0,1,2382.5,140.29
3.37,0,0,939.0,103.84
26.06,2,1,5085.5,174.4
13.02,3,2,2376.6,183.63
15.06,5,1,5032.1,187.56
24.75,5,1,1811.5,167.78
9.92,4,0,800.0,118.01
6.73,1,0,2334.0,128.74
3.95,1,0,2395.8,116.08
9.51,3,1,2362.4,152.3
14.45,0,0,2362.4,138.88
12.0,2,0,2453.8,139.37
2.88,2,0,4920.8,133.74
13.68,1,0,2369.3,144.45
5.99,2,0,2384.7,133.49
13.94,2,0,2422.1,136.44
14.37,2,2,937.9,159.97
4.88,0,0,2405.4,121.27
100.0,1,2,2375.7,194.31
24.15,4,0,5064.4,173.24
37.11,9,1,1787.5,197.95
5.03,2,0,2389.3,135.58
3.93,0,0,2460.7,126.17
26.36,3,2,1880.8,180.03
8.34,2,0,899.3,120.6
5.06,0,0,2381.9,125.9
19.08,2,2,2385.2,178.11
3.55,0,0,1725.7,111.87
48.72,5,0,2511.6,170.27
2.5,0,0,2437.4,104.81
10.34,3,1,2516.7,159.44
8.51,0,0,2336.2,135.84
14.92,2,1,1823.4,150.36
7.15,2,0,5843.7,147.36
29.99,3,2,2397.4,182.11
2.21,0,1,5956.9,144.85
31.66,6,3,4983.2,225.25
19.59,2,1,4853.0,181.87
26.09,1,1,5055.1,169.65
5.96,1,1,4965.8,146.85
7.94,0,0,5042.8,145.14
7.29,5,0,2421.6,146.51
10.69,1,0,1762.8,137.39
2.68,0,0,5010.7,129.85
10.56,0,1,2404.1,143.09
6.58,4,0,1753.0,134.57
12.98,1,1,1801.2,145.56
12.26,2,0,5050.2,157.73
23.24,4,1,2351.3,166.16
2.81,0,0,898.6,92.8
6.31,0,0,956.1,106.55
26.16,2,1,4948.4,183.71
7.2,1,1,2384.8,142.53
15.03,4,1,2409.7,169.61
42.74,1,0,4933.6,166.15
14.2,3,0,5003.4,160.62
8.58,2,0,2407.0,132.68
7.84,1,0,2339.0,134.96
15.82,4,1,2415.0,165.78
6.73,2,0,2379.1,127.93
5.93,2,0,1831.9,124.09
3.02,1,0,2406.0,117.5
10.23,1,1,800.0,126.21
18.74,5,2,1797.9,178.58
10.07,1,0,5009.6,155.63
2.16,0,0,2412.8,113.36
13.9,1,2,5002.5,176.01
10.19,1,0,1874.5,128.17
11.22,2,2,5717.8,181.87
18.72,1,0,1802.6,138.9
15.98,4,0,4950.3,167.47
6.37,2,1,4937.1,165.41
5.1,2,0,4992.2,148.52
10.46,2,1,882.1,129.98
10.38,0,0,4938.4,145.86
8.64,1,1,5829.4,161.47
3.39,0,0,923.1,98.72
13.88,0,1,5802.1,160.27
17.13,3,0,2401.0,149.22
5.67,2,0,923.6,118.8
19.98,2,0,4989.6,160.07
8.36,1,0,5013.3,134.9
9.15,3,0,2367.6,140.63
37.93,8,1,1770.0,189.22
3.59,0,0,1801.6,106.52
8.8,3,0,5034.3,150.02
5.94,5,0,1733.5,144.92
4.47,0,1,1818.2,130.14
12.29,3,1,5035.5,182.5
5.69,2,0,921.1,104.23
16.09,0,1,2375.6,151.47
6.79,1,0,4948.8,138.05
32.26,6,1,5841.0,193.01
7.55,2,0,5071.1,145.27
17.89,2,0,2371.5,147.54
28.26,2,2,2350.1,180.9
28.95,6,0,2449.8,171.72
17.32,5,1,5038.9,182.51
9.63,1,0,5796.4,158.16
3.62,1,0,5782.1,143.74
12.25,2,2,2367.0,172.32
5.49,1,0,2386.0,126.88
16.47,6,1,940.5,159.15
2.94,0,0,2420.4,110.21
32.27,3,1,4956.6,186.98
8.62,3,0,1791.8,127.7
41.11,3,4,875.3,200.78
4.21,1,0,5003.9,141.82
7.28,1,0,1885.1,132.32
3.01,0,0,5793.6,126.43
6.84,0,1,2408.8,136.34
14.27,2,0,5759.4,156.18
23.32,3,1,4942.6,176.94
18.94,4,0,2417.0,152.78
9.38,3,0,5718.8,155.82
6.1,3,0,4993.0,152.46
12.34,2,1,895.7,133.49
15.42,1,0,1788.3,132.95
5.85,0,0,4958.4,129.19
44.34,7,2,5049.9,216.27
13.78,0,0,5885.6,150.16
28.74,4,1,2518.2,190.43
23.68,4,2,2349.1,183.38
8.94,1,0,2397.7,126.99
8.21,1,0,1872.2,124.79
22.93,3,0,1817.0,144.01
100.0,8,2,5862.2,249.26
28.56,4,3,4893.0,226.11
63.13,4,0,1743.5,163.79
13.33,0,0,987.2,109.37
6.91,0,0,2337.1,130.24
3.92,0,0,1830.0,111.14
27.58,4,0,2504.4,161.96
27.44,2,2,1787.9,165.2
5.95,1,0,4979.6,137.56
12.56,1,1,827.6,136.47
99.15,3,2,2344.4,200.68
16.41,4,0,5019.5,160.77
11.34,0,0,5051.2,137.96
11.77,0,2,2402.9,171.8
18.12,1,0,2402.2,132.15
9.62,2,0,2467.3,133.31
7.39,1,0,4990.8,140.87
20.52,1,2,4943.1,185.0
6.77,4,0,1804.1,133.87
28.77,2,3,5076.3,212.98
14.27,3,1,1815.6,163.96
51.8,3,1,2389.1,176.48
12.34,0,0,5045.1,149.36
30.71,7,1,1779.0,178.61
5.42,1,0,5035.1,133.3
21.54,1,1,2438.0,161.88
8.43,1,1,1796.7,139.15
7.92,1,1,5003.3,161.95
20.83,5,0,5785.4,162.85
30.85,4,1,1759.4,168.09
11.81,2,1,1793.3,142.3
35.44,5,2,2431.5,204.16
50.15,7,4,5775.4,248.05
29.81,2,1,5027.5,183.6
5.22,1,0,5074.1,142.15
27.36,1,2,2467.1,175.02
19.11,3,0,4956.0,164.6
42.24,7,1,5842.7,204.78
49.62,2,1,978.7,154.43
25.67,5,2,2413.1,195.08
15.35,2,0,903.7,124.99
10.33,0,0,1762.7,114.57
3.05,0,0,1788.5,110.7
11.6,1,0,2424.0,136.83
8.25,1,0,882.4,112.32
19.61,2,0,872.1,119.82
2.63,0,1,1792.5,121.56
14.11,0,1,2534.7,152.01
6.19,1,1,898.8,126.08
4.72,1,0,4883.9,136.82
8.75,4,0,2440.3,139.22
11.68,2,2,2485.2,173.76
8.0,1,0,5701.8,139.23
15.02,3,1,2337.2,162.96
5.97,1,0,1820.1,133.13
17.35,4,0,4978.5,167.63
6.86,3,0,1788.5,122.43
16.89,2,2,4984.6,187.56
35.99,3,1,5834.4,199.15
7.21,2,0,1763.4,126.42
1.35,0,1,4975.0,139.41
31.1,1,1,2381.7,154.9
83.77,4,2,2411.1,206.7
9.68,0,0,1814.4,129.59
14.87,1,0,4955.3,149.4
38.22,6,0,869.3,155.78
13.18,1,0,964.8,117.02
13.11,2,1,2412.6,154.73
15.88,3,1,5026.7,170.91
5.1,0,0,2336.0,136.58
27.04,4,0,1776.7,151.37
5.07,2,0,2414.9,128.58
31.97,6,1,5038.9,193.92
3.11,3,0,2322.3,126.26
8.15,1,1,1775.4,145.75
14.64,1,0,2485.6,143.26
4.63,0,0,5788.1,130.21
33.48,8,3,4957.7,242.34
14.04,1,2,1754.4,157.79
13.72,1,1,2366.0,159.47
3.02,3,1,2429.1,137.57
8.63,0,0,2392.7,133.31
19.02,3,2,2333.2,184.73
4.35,1,0,830.1,97.13
3.61,1,0,4858.4,136.5
8.77,1,1,1857.7,138.93
14.19,1,1,2422.5,143.75
17.51,3,1,1750.9,153.24
19.85,2,1,2407.8,170.3
16.82,3,0,2421.4,151.69
30.75,2,0,5064.3,166.93
11.31,0,2,2373.5,157.95
12.32,2,2,5721.2,189.42
14.59,2,1,5034.6,183.45
44.75,8,3,2374.9,227.78
2.56,0,0,907.2,100.13
40.7,8,2,4965.4,217.24
6.8,1,0,1818.1,128.53
17.47,2,1,4906.5,177.42
6.22,0,0,2388.8,117.21
8.27,0,1,5769.4,158.8
9.03,3,0,2374.6,138.49
9.14,1,0,2395.9,131.74
13.16,2,0,4974.8,157.33
17.79,2,1,4986.6,161.44
7.59,1,1,932.8,126.8
2.49,1,0,4969.5,128.66
12.08,1,0,2367.1,141.33
14.91,2,0,2340.7,144.34
4.84,1,0,2312.4,123.96
5.72,1,1,5030.4,150.08
5.46,1,0,4962.4,141.29
26.65,2,1,5026.1,182.77
9.01,1,1,5789.7,162.23
19.77,4,1,2455.8,171.0
21.55,6,0,4905.8,183.4
20.71,2,0,5763.8,167.15
25.04,5,1,2422.6,177.25
6.76,1,0,5036.1,144.56
15.29,1,1,2350.6,145.73
22.73,2,0,2398.0,150.09
12.94,2,0,4986.4,158.59
14.12,2,0,2446.9,135.12
20.14,2,0,2388.0,157.42
19.74,5,0,1814.9,160.99
31.48,3,2,2471.8,178.0
6.03,0,1,5781.1,153.6
6.63,3,0,5014.4,149.14
4.31,0,0,4962.1,129.65
12.98,1,1,2427.7,149.67
3.49,0,0,2475.2,121.86
11.88,4,0,2413.7,154.66
46.58,4,2,4952.7,205.25
27.9,4,0,2441.0,152.96
64.64,4,1,2349.3,187.22
6.16,0,0,2404.3,122.65
3.53,1,0,2412.9,120.43
5.08,1,1,5041.7,156.86
43.46,6,3,928.7,196.47
9.03,2,0,2392.2,128.09
9.7,2,0,2479.5,146.38
11.35,0,0,2416.9,137.62
17.58,4,2,2351.0,176.55
43.24,7,1,2344.1,189.88
2.89,0,0,2474.5,124.81
18.26,1,1,2363.6,155.65
14.44,2,0,2451.3,144.09
10.35,1,0,2440.2,134.12
6.65,4,0,2408.6,140.3
18.05,2,2,5828.5,188.38
19.06,0,1,2359.3,143.08
21.02,4,2,906.3,170.68
7.6,0,0,2442.2,118.35
7.85,2,0,2392.6,144.43
15.81,6,1,5860.4,192.76
75.03,4,2,5044.5,215.16
3.54,1,0,1806.6,116.19
8.05,1,0,2372.6,135.57
1.82,1,0,883.1,94.8
13.48,4,0,863.3,136.71
14.02,1,2,4933.2,183.56
8.47,0,0,1789.1,118.19
3.29,0,1,5006.0,138.74
26.64,1,2,2294.7,174.87
9.57,1,0,1669.8,128.79
41.44,3,0,5033.2,178.69
18.34,2,0,2496.8,152.07
18.21,3,2,1782.6,171.66
7.55,2,1,5053.9,162.76
6.45,2,0,5821.2,143.42
16.76,2,2,4958.6,185.58
7.65,2,0,2341.3,135.85
4.74,0,0,2413.2,117.14
20.97,0,0,4959.4,148.83
3.33,1,0,5021.7,133.13
9.88,0,0,2522.1,136.08
16.08,1,1,2525.6,161.61
20.34,2,1,2406.2,163.19
19.37,2,2,2274.5,171.78
14.58,4,0,2445.2,151.11
7.36,1,0,2362.5,127.45
6.82,0,0,2410.0,121.6
6.98,2,0,4954.1,142.58
11.18,5,0,5050.0,158.68
9.76,0,0,5022.5,138.15
62.79,5,4,2400.0,232.56
10.56,4,0,5019.8,165.31
18.63,2,1,2481.1,150.1
6.25,1,0,5038.2,148.76
10.09,3,2,2437.2,176.97
8.19,1,0,2390.9,135.72
14.98,2,1,1810.6,153.73
15.88,4,0,2407.1,156.09
16.42,2,1,5015.6,174.43
23.42,3,0,4978.7,167.0
10.35,2,2,2490.3,167.4
19.74,6,2,4957.5,203.15
5.57,2,0,5070.3,138.68
28.56,3,2,2472.6,172.81
17.1,2,1,2402.0,156.89
12.33,1,2,1852.4,152.91
14.47,2,1,1771.9,150.46
18.13,2,1,2453.5,158.68
24.96,4,0,2316.4,165.82
6.88,0,0,5026.1,140.04
11.07,0,1,2437.0,145.52
38.21,2,4,1726.3,216.43
11.19,2,1,2377.3,155.38
15.21,4,2,4998.9,194.45
15.34,1,1,1771.9,144.53
8.0,1,0,1851.5,127.97
14.71,1,0,4933.7,150.04
12.03,1,2,945.8,149.78
5.23,1,0,1747.1,127.92
5.97,0,1,1816.0,129.44
14.08,0,2,1865.2,156.79
10.36,1,1,5011.0,162.49
7.31,1,0,2355.5,128.65
18.0,2,1,4956.6,165.38
5.5,1,0,2421.0,130.17
8.97,0,0,5793.8,140.98
16.82,2,1,2372.5,158.53
4.75,0,1,5824.4,158.32
15.23,2,0,2443.1,140.89
5.61,2,0,1780.1,135.19
6.52,3,1,1748.8,146.51
37.64,3,2,892.7,169.82
5.01,0,0,1857.4,110.51
6.83,0,0,890.2,113.64
5.21,2,1,1797.7,135.18
15.73,4,2,2482.7,183.59
35.19,5,1,2367.4,178.76
22.09,5,0,5758.4,175.27
40.88,10,0,2419.9,181.82
7.82,2,0,5097.0,136.87
3.93,0,0,2410.9,107.07
6.01,3,0,1670.6,118.68
22.25,4,1,4940.6,185.47
12.78,1,0,5019.4,149.63
9.21,2,0,4961.4,155.54
24.11,3,1,1781.5,157.54
15.67,2,0,2491.9,147.11
29.77,6,0,5009.3,185.37
9.08,2,0,2364.8,135.52
16.09,5,1,2404.3,172.98
100.0,4,0,2343.8,171.67
6.63,1,0,5896.6,147.24
12.23,2,1,2441.0,158.18
45.36,5,1,2418.0,181.25
8.24,0,0,5031.7,139.28
13.39,0,0,866.3,124.88
11.44,1,1,871.0,137.4
69.13,3,1,828.8,161.34
43.76,6,3,940.1,199.59
24.51,3,2,2398.5,177.77
5.74,0,1,2401.7,140.3
6.75,3,0,5009.1,148.33
26.3,3,1,1788.1,162.14
14.17,1,0,5014.9,139.54
3.56,1,0,2392.8,121.41
8.93,0,0,2384.7,126.22
9.11,0,0,5002.5,138.92
24.23,2,2,5004.0,189.32
13.92,2,0,5020.9,154.89
19.62,1,0,2370.5,142.06
35.9,7,1,5044.3,201.82
42.4,3,1,2323.5,169.19
8.47,1,0,4948.0,142.05
15.58,4,0,4945.2,158.8
9.72,2,0,5804.9,146.75
19.99,6,0,5081.9,171.91
6.6,2,0,4998.3,142.31
7.24,2,0,5004.2,137.19
5.69,0,0,4969.8,128.05
3.55,0,0,5792.0,131.58
4.21,1,0,5796.9,145.3
5.6,0,0,949.1,107.82
8.31,2,0,5018.0,152.68
10.72,2,2,5046.8,185.48
29.31,6,2,2321.7,195.89
7.09,1,0,821.4,108.16
10.34,1,0,841.3,108.47
10.72,2,2,5821.5,184.1
12.63,0,0,2427.9,128.6
29.18,4,0,5845.2,173.98
12.13,1,1,5058.9,151.41
15.2,3,0,2400.4,150.68
38.4,6,2,2382.6,205.28
1.19,1,1,1829.6,114.78
28.38,3,1,2409.9,172.99
8.98,3,1,5827.3,175.17
2.69,0,0,2370.2,106.63
10.96,1,1,2373.8,142.88
7.55,2,0,5751.7,150.78
22.72,2,1,844.5,147.69
40.74,2,3,2430.3,198.01
8.55,1,0,2382.9,126.52
23.37,1,0,1909.3,141.17
45.6,6,0,2364.1,173.23
12.62,3,1,2312.7,161.92
13.79,0,1,2383.2,144.09
28.14,3,2,5038.0,201.01
29.0,4,1,2480.2,178.57
25.87,3,1,2409.6,171.87
5.74,1,0,2372.0,128.68
16.83,4,1,5035.8,169.74
53.9,3,0,2449.1,160.9
16.73,3,0,1709.6,137.18
12.97,1,1,5052.7,166.57
17.12,1,0,2455.4,136.61
8.8,2,1,4969.2,159.53
15.79,4,0,5773.4,167.45
22.44,4,1,1825.6,163.77
11.02,0,0,5042.3,145.73
9.04,0,0,2492.4,128.7
14.3,1,0,5830.4,154.04
9.2,2,0,2289.1,133.61
6.63,1,0,4981.3,139.34
11.01,1,1,5048.4,162.68
8.39,2,0,1724.4,126.9
18.94,0,2,2434.0,167.54
19.64,2,0,1698.8,137.74
30.56,1,2,5014.8,188.43
4.83,0,0,833.3,97.64
22.15,4,0,1869.9,153.36
24.05,3,2,2420.9,176.42
34.33,5,2,2427.2,193.52
4.69,1,0,2414.3,124.6
17.06,3,0,1771.1,148.11
24.18,3,2,2483.9,176.81
5.66,1,1,2332.4,127.9
21.17,4,0,1813.3,141.26
7.7,0,0,2386.2,130.79
8.72,0,0,1817.2,127.95
35.78,5,1,4936.9,186.74
32.27,9,2,5812.7,231.15
41.22,7,2,2331.7,202.3
11.0,3,1,888.1,144.64
38.86,5,0,828.7,146.94
10.02,2,0,5021.7,156.49
38.93,4,0,2400.7,154.42
8.51,0,0,5858.3,139.79
4.75,0,1,5091.0,144.32
9.29,0,0,2391.4,140.07
12.12,3,0,2439.2,141.17
7.46,1,1,2409.8,143.72
9.76,3,0,2464.6,141.25
5.08,0,0,4987.3,132.92
6.78,2,0,5766.5,146.93
38.61,1,0,2374.4,145.57
30.47,1,2,2258.1,169.62
5.99,2,0,2438.6,127.23
9.53,2,0,2460.0,144.14
18.51,4,2,4939.0,197.56
49.35,4,3,2380.5,214.85
12.63,2,0,931.2,121.92
5.88,1,0,2505.4,120.66
14.27,1,0,5820.0,147.68
4.54,0,0,5847.9,141.82
17.89,6,0,1747.2,157.33
24.98,2,1,1856.5,163.71
11.4,1,1,5012.2,156.55
10.46,2,1,2390.1,152.23
34.07,8,3,4968.7,237.76
7.49,2,1,929.6,138.59
13.48,2,2,841.1,152.7
21.72,2,1,2405.6,161.81
6.48,3,0,2399.9,141.57
13.57,1,2,2394.1,166.4
14.22,1,2,5767.4,181.06
1.02,1,0,2406.4,104.6
10.67,2,0,2358.7,124.67
7.94,1,0,1814.7,130.51
4.41,2,1,2433.4,145.87
10.38,0,1,4948.5,158.54
12.33,4,0,4951.3,157.77
0.89,0,1,4959.1,136.25
3.15,0,0,1751.1,105.2
11.55,1,0,5872.7,147.27
6.0,1,0,2374.0,126.49
68.01,5,1,5091.7,204.38
20.69,0,1,4953.5,164.95
22.31,2,2,1704.3,170.83
9.27,2,0,1843.4,124.25
6.19,0,1,5799.3,150.35
20.99,5,1,890.1,154.34
12.69,1,0,2474.5,139.94
14.85,0,0,1880.1,130.29
21.08,4,2,4992.9,187.16
12.65,3,1,836.1,134.25
7.09,1,0,1820.8,119.26
4.09,0,0,5764.5,135.73
13.7,0,2,2373.9,156.64
97.07,3,1,1856.9,174.56
19.44,1,0,5030.7,142.86
31.97,5,0,5030.5,169.68
22.19,3,0,2391.3,146.86
12.13,0,1,2367.1,151.51
20.84,2,0,5030.2,157.05
5.92,1,0,1830.2,122.65
35.36,10,2,4906.9,233.59
19.49,3,1,1870.7,159.87
29.29,4,3,1690.4,191.76
16.63,1,1,2400.0,153.82
71.12,6,2,5060.0,226.18
15.82,4,0,5730.5,169.3
23.12,2,1,2380.4,164.82
9.63,2,0,2472.6,133.06
17.31,4,0,5687.8,169.62
19.14,1,1,2481.8,161.39
2.27,0,0,5834.2,136.02
6.04,0,0,4879.8,137.53
21.52,2,0,2555.6,137.47
